sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,state,race,math_score,reading_score,writing_score,attendance_rate,suspensions,expulsions,teacher_support,counseling,social_worker_visits,parental_involvement
M,17,U,LE3,T,4,1,services,at_home,mother,1,2,3,yes,yes,no,no,no,yes,no,yes,5,2,5,3,3,2,37,Florida,Other,91,34,59,78.83,3,0,no,no,2,high
M,17,U,LE3,A,3,2,health,at_home,father,3,2,1,no,no,yes,yes,no,yes,yes,no,2,3,2,4,1,4,20,Texas,African American,90,68,94,71.17,0,0,yes,yes,4,medium
M,19,U,GT3,A,4,0,teacher,at_home,father,3,2,4,no,no,yes,no,yes,yes,no,yes,5,2,4,2,3,5,46,California,Asian,76,48,61,82.26,1,1,no,no,2,high
M,19,U,LE3,T,1,1,services,services,mother,4,2,4,no,yes,no,no,yes,no,yes,no,1,2,2,5,1,2,3,Florida,African American,61,82,18,87.07,2,0,no,no,1,low
M,19,R,GT3,T,0,1,teacher,other,father,1,4,4,yes,no,yes,no,no,no,yes,yes,1,3,4,4,5,5,54,Florida,Asian,77,94,42,83.13,2,0,yes,yes,4,medium
M,16,R,GT3,A,4,0,services,services,father,2,1,2,yes,no,yes,no,no,no,no,no,3,4,2,1,4,3,35,Texas,Asian,9,1,59,90.82,3,1,yes,no,3,high
M,19,U,GT3,T,4,2,health,at_home,other,2,4,4,yes,no,yes,yes,yes,no,yes,no,4,3,2,2,4,5,14,Texas,White,73,33,50,77.05,0,0,yes,yes,3,low
F,17,R,LE3,A,4,0,at_home,health,other,1,1,4,yes,no,no,no,no,no,yes,no,1,4,2,5,1,2,74,California,Other,18,12,83,72.34,2,1,yes,yes,1,low
F,17,R,GT3,A,4,0,health,health,other,3,3,3,yes,no,yes,no,yes,no,no,yes,5,4,5,4,1,4,20,Texas,White,90,63,63,75.07,2,1,yes,yes,2,medium
F,16,U,GT3,T,4,1,teacher,at_home,mother,1,3,2,yes,no,no,yes,no,yes,yes,no,1,1,5,3,2,4,11,Florida,Asian,87,34,65,78.02,2,0,yes,yes,0,high
M,16,U,LE3,A,3,4,other,teacher,mother,1,4,3,yes,no,no,yes,no,no,no,no,1,5,5,4,3,4,49,Texas,White,42,97,69,77.3,0,1,no,yes,3,low
M,19,U,GT3,A,2,1,teacher,teacher,other,2,3,4,no,yes,no,yes,no,yes,no,no,2,5,2,5,2,3,13,Florida,Asian,64,77,90,85.4,1,0,no,yes,4,medium
F,18,R,GT3,T,3,3,at_home,teacher,mother,2,2,4,yes,no,no,no,yes,no,no,no,3,2,3,5,2,4,19,Texas,White,26,34,47,96.94,0,0,no,yes,2,medium
M,16,R,GT3,A,1,2,teacher,at_home,mother,1,4,1,yes,no,no,no,no,yes,no,yes,1,3,4,1,5,4,37,California,Asian,7,100,17,80.7,0,1,yes,yes,4,medium
M,15,R,LE3,T,4,0,teacher,other,other,2,2,1,yes,no,no,no,yes,no,no,yes,4,1,1,1,1,1,23,California,Hispanic,53,25,19,72.53,3,0,yes,no,2,medium
M,17,U,GT3,A,4,4,health,services,mother,3,1,1,yes,no,yes,yes,yes,yes,yes,no,3,5,4,4,1,4,65,Florida,Hispanic,80,43,72,94.6,2,1,no,yes,3,low
F,15,U,GT3,T,4,4,services,services,other,4,4,3,no,no,yes,yes,yes,no,yes,yes,4,5,4,4,4,3,79,Florida,African American,27,6,66,70.48,0,1,yes,no,4,high
F,17,U,GT3,T,0,2,services,at_home,mother,1,2,1,yes,yes,yes,no,no,yes,no,no,1,5,2,1,4,2,79,California,Asian,43,99,39,85.47,2,1,no,yes,4,medium
F,17,U,LE3,A,4,0,other,services,father,4,2,1,yes,no,no,yes,yes,no,yes,no,4,5,4,4,3,4,50,California,White,90,38,17,94.27,0,1,no,yes,1,low
F,16,U,GT3,A,2,3,other,at_home,father,3,4,4,yes,yes,yes,yes,no,no,no,yes,4,4,2,3,4,3,93,Florida,Asian,96,84,11,86.99,0,0,yes,no,2,low
F,16,U,LE3,T,3,3,health,services,mother,4,4,2,no,no,no,no,yes,yes,yes,no,2,5,3,3,4,1,22,Texas,White,23,78,82,97.9,1,1,yes,yes,3,low
F,15,U,LE3,T,1,2,services,services,mother,1,1,1,yes,no,yes,no,yes,yes,no,no,3,2,4,5,1,1,3,California,African American,64,12,25,70.9,2,0,no,no,1,high
F,17,R,LE3,A,4,4,teacher,other,father,3,1,1,no,no,yes,yes,no,yes,yes,no,2,3,2,1,2,2,88,Florida,Asian,7,83,96,98.25,0,1,yes,yes,1,high
M,15,U,GT3,T,2,1,other,at_home,other,3,3,2,yes,yes,no,no,yes,no,yes,no,2,2,4,4,1,2,62,California,African American,1,97,32,92.49,3,0,yes,no,0,high
M,18,R,GT3,A,2,0,at_home,health,other,3,3,4,no,yes,no,no,no,no,no,no,4,5,1,5,2,4,70,Florida,White,17,89,5,79.83,0,0,yes,no,3,high
M,15,R,GT3,A,2,2,other,health,mother,4,3,1,yes,yes,no,no,yes,yes,no,yes,4,2,2,5,5,4,48,Florida,Other,78,3,57,88.83,1,1,yes,yes,0,high
M,19,U,LE3,T,1,2,health,at_home,mother,4,4,1,yes,yes,yes,yes,no,no,yes,yes,4,2,5,5,4,4,20,Florida,White,60,97,56,86.86,2,0,no,yes,2,medium
F,15,R,LE3,T,4,1,health,at_home,mother,4,1,1,no,no,no,no,no,no,yes,no,3,3,3,5,1,2,39,Florida,African American,41,83,8,97.31,0,0,no,yes,1,high
F,19,R,GT3,T,0,0,services,health,other,4,1,4,no,yes,no,yes,no,no,no,yes,5,1,4,2,2,5,7,Texas,Asian,39,18,9,82.38,3,1,yes,no,3,medium
M,19,R,GT3,A,2,0,health,other,other,4,1,1,no,no,no,yes,yes,no,yes,no,2,2,2,5,5,1,1,Florida,Asian,3,100,43,72.98,3,1,no,yes,4,medium
F,19,R,LE3,A,3,2,at_home,other,other,4,2,4,yes,yes,no,yes,yes,no,yes,no,1,5,5,2,4,4,19,California,African American,63,30,52,72.06,2,1,no,no,1,low
M,18,R,LE3,A,1,1,health,health,mother,1,4,2,no,yes,no,no,no,yes,yes,yes,2,1,3,2,2,2,76,Texas,Asian,38,82,26,82.41,0,0,yes,no,3,medium
M,15,R,LE3,T,0,0,other,services,father,2,1,4,yes,yes,no,yes,no,yes,yes,yes,4,3,4,1,4,4,66,Texas,Hispanic,78,42,80,99.57,3,0,yes,yes,1,medium
M,15,R,LE3,T,2,3,teacher,health,father,3,1,4,yes,no,no,yes,no,yes,no,no,3,2,3,1,5,3,55,Florida,Other,89,63,51,88.57,2,0,yes,no,2,high
F,18,R,GT3,T,0,3,at_home,services,other,2,1,3,yes,yes,yes,yes,yes,no,no,no,5,2,4,3,3,3,58,Florida,African American,76,1,83,92.25,3,0,yes,no,3,high
F,17,U,GT3,A,2,2,services,at_home,father,2,3,1,yes,yes,no,no,no,no,no,yes,1,5,2,3,1,5,65,Florida,Other,9,89,63,98.88,2,1,no,no,2,high
M,16,U,GT3,A,4,1,services,health,mother,2,2,2,yes,no,no,yes,no,yes,yes,yes,3,5,1,1,1,3,13,Florida,African American,100,21,53,89.89,3,1,no,no,3,high
M,15,U,GT3,T,4,0,other,other,other,2,2,1,no,yes,yes,yes,yes,no,yes,no,2,4,3,5,2,3,71,California,Other,33,80,12,88.06,3,1,no,yes,2,high
M,16,R,LE3,A,2,1,other,other,father,4,1,1,no,yes,no,yes,no,no,no,yes,4,2,4,3,3,1,29,Florida,White,90,87,30,75.65,3,0,no,no,0,medium
M,18,R,GT3,T,2,4,services,health,father,2,2,4,no,no,yes,no,yes,no,yes,yes,4,5,5,2,1,1,73,California,African American,26,75,80,78.69,0,1,yes,yes,3,low
F,17,R,LE3,T,3,3,teacher,health,mother,3,2,4,no,yes,yes,yes,yes,yes,yes,yes,2,2,2,3,2,3,17,Texas,Asian,44,21,48,96.4,1,0,yes,yes,2,high
F,17,R,LE3,A,2,2,at_home,teacher,other,4,3,1,no,yes,yes,yes,no,yes,no,no,1,3,2,1,3,2,93,Florida,Other,87,83,74,85.23,0,1,yes,no,3,high
M,17,R,GT3,A,4,0,teacher,at_home,other,2,3,4,yes,no,no,no,yes,no,yes,yes,2,5,4,1,5,5,46,California,White,94,66,26,95.91,1,1,yes,yes,4,high
M,18,R,GT3,T,4,3,at_home,health,other,3,2,1,no,yes,no,no,no,no,yes,no,1,2,2,3,1,5,44,Texas,White,9,14,12,70.47,1,0,no,no,4,medium
M,19,R,GT3,T,2,3,other,health,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,yes,1,1,2,5,2,3,0,Florida,White,76,42,45,85.18,0,1,yes,yes,2,medium
M,19,U,GT3,T,4,2,at_home,other,mother,1,2,4,yes,no,yes,no,yes,yes,yes,no,2,4,4,3,1,1,35,Texas,Asian,82,13,50,79.46,0,0,yes,yes,4,low
M,16,R,LE3,A,1,0,other,health,other,2,3,2,no,yes,yes,no,no,yes,no,yes,5,1,2,5,4,5,62,Florida,White,36,73,42,78.41,3,0,no,yes,2,high
F,19,U,LE3,A,4,1,services,services,other,1,2,1,yes,no,yes,no,yes,no,yes,yes,5,5,1,3,2,5,88,Florida,Other,2,19,99,95.83,1,1,yes,yes,4,medium
M,19,R,LE3,A,1,0,health,at_home,mother,3,4,4,yes,no,yes,no,yes,yes,no,yes,4,4,2,2,2,5,48,Florida,Asian,14,22,78,95.15,0,1,no,no,1,high
F,17,R,LE3,A,1,1,other,other,father,1,1,1,yes,no,yes,yes,no,yes,no,no,4,2,4,3,4,4,18,Texas,African American,61,53,85,96.88,0,1,no,yes,1,medium
M,17,R,LE3,T,1,2,other,at_home,other,4,4,2,yes,no,no,yes,yes,no,yes,yes,2,5,5,2,2,4,59,California,Asian,8,72,88,82.88,1,0,no,no,3,medium
M,16,R,GT3,A,3,3,services,other,father,4,4,2,no,no,yes,yes,yes,yes,yes,no,2,2,2,4,2,1,24,Florida,African American,66,61,18,98.85,0,0,no,yes,2,high
M,15,R,GT3,T,2,0,services,other,father,4,1,2,yes,yes,no,yes,no,no,no,yes,1,1,4,2,1,2,26,Texas,African American,3,61,28,79.62,3,0,no,no,4,medium
F,16,R,GT3,T,3,3,other,other,mother,2,4,4,yes,yes,no,yes,no,yes,no,no,2,3,5,2,5,3,55,Florida,African American,28,63,86,99.67,0,0,no,yes,3,high
M,16,U,GT3,T,3,2,teacher,other,mother,2,1,4,no,no,no,no,no,no,yes,no,5,3,2,1,3,4,81,Florida,African American,28,73,82,92.71,2,0,no,no,1,low
F,18,R,GT3,A,3,0,at_home,services,father,3,1,1,no,no,yes,no,yes,yes,no,no,1,1,3,3,1,3,10,California,Asian,30,52,66,89.63,1,0,yes,no,1,high
F,18,U,GT3,T,2,1,services,other,father,3,1,3,yes,yes,no,yes,no,yes,yes,yes,3,2,5,2,3,2,28,Florida,Hispanic,59,60,18,96.73,2,1,no,no,2,high
M,16,U,LE3,A,0,0,other,health,other,4,3,2,no,no,yes,yes,yes,no,no,yes,2,3,1,4,4,3,88,Texas,Hispanic,21,52,12,88.95,2,0,no,no,1,low
M,16,U,LE3,A,0,0,other,other,father,4,1,1,yes,no,no,yes,yes,yes,no,no,3,4,2,5,2,3,86,California,White,81,2,96,82.6,0,0,no,yes,3,low
F,16,R,LE3,T,0,2,health,services,father,4,1,1,yes,no,no,yes,no,no,no,yes,1,1,3,2,4,3,55,Florida,Other,65,11,87,80.84,3,1,yes,no,3,high
M,19,R,LE3,T,3,0,teacher,health,father,4,2,1,yes,yes,no,no,yes,yes,yes,no,5,4,4,1,4,1,73,California,Other,43,19,37,74.22,1,1,no,yes,3,medium
F,18,R,GT3,A,2,4,teacher,teacher,father,1,1,1,yes,no,no,no,no,yes,yes,yes,5,5,2,3,4,2,5,Texas,Other,34,24,34,84.42,1,0,no,yes,0,high
F,16,R,GT3,A,0,4,at_home,health,mother,4,1,4,yes,no,yes,yes,no,yes,yes,yes,3,1,2,5,5,5,44,Florida,White,11,88,32,93.69,0,0,no,no,2,low
F,17,R,LE3,A,1,4,teacher,teacher,father,3,1,2,yes,no,no,yes,no,yes,no,yes,2,5,2,2,4,2,22,Florida,Other,21,27,44,74.13,2,1,yes,yes,1,high
M,17,R,GT3,T,3,0,health,services,father,3,3,3,no,yes,yes,no,no,yes,no,no,4,1,5,3,2,3,27,California,Asian,89,15,56,97.82,1,1,yes,yes,0,low
M,19,R,GT3,A,1,2,services,services,mother,2,4,4,no,yes,yes,yes,no,yes,yes,no,2,1,2,5,2,5,46,California,Hispanic,88,50,48,76.61,2,0,yes,yes,3,medium
F,19,R,GT3,A,3,3,at_home,health,father,1,2,2,no,yes,no,no,no,yes,yes,no,5,2,3,1,1,2,91,Texas,African American,31,39,65,98.82,0,1,no,no,2,high
F,15,R,GT3,A,3,2,services,teacher,other,2,1,4,no,yes,yes,yes,no,yes,yes,yes,5,5,4,4,4,4,73,Texas,Other,8,20,82,83.7,3,0,yes,yes,0,medium
M,15,U,GT3,T,1,2,at_home,teacher,mother,2,4,4,yes,yes,no,no,yes,yes,yes,yes,3,5,5,1,4,4,46,Florida,White,63,70,38,74.16,0,0,yes,no,1,low
F,15,R,GT3,T,3,1,teacher,at_home,father,4,3,3,no,yes,no,yes,no,no,no,no,2,5,4,2,3,5,19,California,White,58,75,46,73.36,2,1,no,yes,1,high
F,19,U,LE3,A,0,1,teacher,services,other,3,4,4,yes,yes,yes,yes,no,no,yes,yes,2,1,1,2,2,3,12,Texas,Asian,73,98,32,89.87,2,1,yes,yes,4,low
F,19,U,GT3,A,4,2,teacher,health,father,4,3,1,yes,no,yes,yes,no,no,no,no,4,2,5,2,1,4,81,California,African American,63,81,90,94.33,1,1,no,no,2,low
F,19,R,LE3,T,0,2,services,at_home,father,1,3,4,yes,no,no,yes,yes,no,yes,yes,3,2,1,2,2,2,87,Texas,African American,98,81,49,71.72,1,0,yes,yes,4,high
M,17,U,LE3,T,4,1,health,services,father,2,2,1,no,no,no,no,no,no,yes,yes,1,2,1,2,4,1,29,Texas,White,47,10,65,97.47,0,0,no,no,3,medium
F,19,R,GT3,T,2,2,other,health,mother,2,2,2,yes,yes,no,no,no,no,yes,no,1,3,3,4,5,2,15,Texas,Other,52,31,32,71.16,2,1,no,yes,1,high
M,17,U,LE3,T,1,1,teacher,other,other,3,2,1,yes,yes,yes,yes,no,yes,no,yes,3,1,3,2,4,4,59,Texas,Asian,31,96,48,86.35,2,1,no,no,3,low
F,15,U,GT3,T,2,1,health,services,mother,1,1,4,no,no,yes,no,no,no,yes,no,2,5,2,5,3,2,10,Florida,Asian,53,46,70,85.47,0,0,no,yes,4,high
M,15,R,LE3,A,4,1,teacher,services,mother,2,3,4,yes,yes,yes,no,yes,yes,yes,yes,5,5,4,2,1,3,27,Texas,African American,40,44,9,94.17,2,1,yes,no,1,low
M,15,U,LE3,T,2,0,health,services,other,3,1,4,yes,yes,yes,yes,yes,no,yes,yes,4,5,3,3,1,1,32,Florida,Asian,66,96,27,87.46,2,1,yes,no,2,high
F,16,R,LE3,T,4,1,other,teacher,other,3,3,2,no,yes,no,no,yes,yes,yes,yes,3,5,2,1,3,5,87,California,Hispanic,54,78,88,80.11,3,0,no,yes,0,medium
F,16,U,LE3,A,4,1,at_home,services,other,4,4,4,no,no,no,no,yes,no,yes,yes,4,5,5,5,3,5,50,Florida,African American,93,17,94,87.41,3,1,no,no,3,high
M,18,R,GT3,A,0,1,other,teacher,other,2,3,4,yes,yes,no,yes,no,yes,no,yes,5,4,5,1,2,4,0,Florida,White,34,85,43,98.54,2,1,no,no,3,medium
F,18,R,GT3,A,1,2,at_home,health,father,4,4,4,no,no,no,no,yes,no,yes,yes,1,1,5,3,5,5,87,Florida,Asian,57,5,12,73.68,0,1,yes,yes,1,medium
M,18,R,GT3,T,1,3,at_home,teacher,father,4,1,4,no,yes,no,yes,no,yes,no,no,4,2,5,4,1,2,63,Texas,African American,68,58,94,89.7,2,1,no,yes,1,high
M,16,R,LE3,A,4,3,at_home,teacher,father,1,4,4,no,no,yes,no,no,yes,yes,yes,4,3,1,4,4,1,78,Texas,Other,93,85,28,75.04,1,1,yes,yes,4,low
F,16,U,LE3,A,4,4,at_home,other,other,4,1,1,yes,yes,yes,no,no,yes,no,no,1,4,3,2,1,1,4,Texas,Other,0,5,39,76.14,1,1,yes,yes,3,medium
F,18,U,LE3,T,4,4,at_home,health,other,4,4,2,yes,no,yes,no,yes,yes,yes,yes,4,5,1,1,3,3,4,Florida,Hispanic,8,14,8,99.18,0,1,no,no,3,medium
F,18,R,GT3,A,1,2,services,teacher,father,1,3,1,no,yes,yes,no,yes,no,yes,yes,2,5,2,3,2,3,56,Florida,White,48,93,94,94.78,0,0,yes,no,3,high
F,19,U,LE3,T,4,3,at_home,services,mother,4,3,2,yes,yes,yes,no,no,no,yes,no,1,5,2,5,2,2,74,Florida,Other,67,60,28,97.33,3,0,no,yes,0,medium
F,18,U,LE3,T,3,1,services,teacher,other,1,1,3,yes,no,no,no,yes,yes,no,yes,4,4,5,1,1,1,90,Texas,African American,45,29,3,74.56,1,0,yes,yes,3,low
F,19,R,GT3,A,1,3,teacher,other,other,3,2,2,yes,yes,no,yes,no,no,yes,no,5,5,1,5,2,3,18,Texas,Asian,83,45,80,82.39,2,1,yes,no,4,medium
M,17,U,LE3,A,2,2,services,other,mother,2,3,1,no,yes,no,no,no,no,no,no,4,5,3,4,1,1,40,Florida,Other,87,95,80,93.01,2,0,yes,yes,3,low
F,16,U,LE3,A,0,1,other,health,mother,4,1,1,yes,no,yes,yes,yes,yes,no,yes,1,4,3,3,3,3,90,California,Other,36,83,18,89.45,0,0,no,no,4,high
F,18,R,GT3,T,4,0,other,teacher,other,4,4,1,yes,yes,yes,yes,yes,yes,yes,yes,4,1,1,3,1,5,36,Florida,Hispanic,76,16,47,74.53,2,0,no,yes,1,high
M,16,U,GT3,A,2,3,other,health,other,4,4,4,no,yes,yes,yes,yes,no,yes,no,4,4,2,1,3,2,64,Texas,Asian,76,92,66,83.17,1,1,yes,yes,4,medium
F,16,R,LE3,T,2,0,other,at_home,other,4,3,2,no,no,no,yes,no,yes,no,yes,5,3,1,1,4,5,49,California,Asian,18,74,96,77.28,2,1,no,yes,3,medium
F,16,U,GT3,A,2,4,other,other,other,2,2,4,no,yes,yes,no,no,no,yes,yes,1,4,3,3,1,2,64,Florida,Other,80,83,100,80.14,3,0,yes,yes,2,medium
F,17,R,GT3,A,3,2,other,other,mother,2,1,1,yes,yes,no,yes,yes,yes,no,no,4,3,1,3,4,4,70,Texas,Asian,19,83,41,97.39,2,1,no,no,1,high
F,15,U,GT3,A,4,0,services,other,other,2,3,1,yes,no,no,yes,yes,no,no,no,2,4,1,3,3,5,41,California,White,38,7,81,77.39,1,0,no,yes,0,high
M,18,R,LE3,T,2,1,other,other,other,2,1,1,no,yes,yes,no,yes,no,yes,no,1,5,2,3,5,4,72,Texas,White,14,49,84,81.28,0,0,yes,no,0,low
F,15,R,LE3,T,0,3,at_home,at_home,father,4,1,2,no,yes,no,yes,no,yes,yes,yes,4,1,3,4,3,5,6,Texas,Other,96,16,57,85.53,3,1,no,no,2,low
M,15,R,LE3,A,1,1,other,health,father,3,4,4,no,yes,yes,yes,yes,no,no,yes,3,3,2,2,2,5,82,Florida,Other,92,56,87,72.13,3,1,yes,yes,2,medium
F,15,R,LE3,A,4,2,services,other,mother,3,2,4,yes,no,yes,no,yes,yes,no,no,3,4,1,3,3,1,38,Florida,White,71,57,58,96.66,3,0,no,yes,1,high
F,16,U,LE3,A,1,3,health,services,father,1,3,4,no,no,yes,no,yes,yes,no,no,1,3,5,2,1,2,15,Florida,Asian,20,75,15,83.93,2,0,no,no,3,medium
F,19,R,LE3,T,0,1,other,health,other,3,2,2,no,yes,no,yes,yes,yes,yes,yes,1,3,5,2,1,5,56,California,Hispanic,53,95,94,80.81,2,1,no,yes,1,high
F,16,R,GT3,A,4,3,services,health,father,4,1,4,yes,yes,yes,yes,no,no,yes,no,3,1,4,2,2,2,17,Texas,Hispanic,9,85,59,84.33,2,1,no,yes,0,medium
F,16,U,LE3,T,3,2,at_home,other,other,4,2,3,yes,yes,yes,no,yes,no,yes,no,4,5,4,4,2,4,70,Florida,Hispanic,48,26,66,90.25,3,0,no,no,1,high
F,15,U,LE3,A,4,3,health,teacher,mother,4,1,4,yes,no,no,no,yes,no,no,no,1,4,2,5,3,1,86,Florida,Asian,0,57,16,88.34,2,1,yes,yes,3,low
F,16,R,LE3,T,4,2,health,services,father,2,2,1,no,no,yes,yes,yes,no,yes,no,2,5,3,2,1,5,33,Texas,Hispanic,31,100,63,87.32,3,0,yes,no,3,medium
M,15,R,LE3,T,4,1,at_home,teacher,father,3,1,1,no,no,yes,no,yes,no,yes,no,4,4,2,1,5,4,18,Florida,White,87,50,32,79.15,3,1,no,no,0,low
M,19,U,LE3,T,3,4,at_home,health,mother,1,4,1,no,yes,yes,yes,no,no,no,no,5,2,4,2,5,1,11,California,Asian,13,46,70,83.04,2,0,no,yes,4,medium
M,18,U,GT3,T,2,3,at_home,at_home,other,2,2,4,yes,no,yes,yes,yes,yes,yes,yes,3,4,5,3,2,5,77,Texas,White,27,56,21,90.92,0,0,no,no,0,medium
F,15,R,GT3,T,2,4,teacher,health,mother,1,1,1,yes,yes,no,yes,yes,no,no,no,3,3,1,5,3,4,76,Florida,Asian,39,49,6,96.21,3,0,yes,no,4,medium
F,19,R,LE3,A,3,0,other,services,father,2,1,4,yes,yes,no,no,no,yes,no,no,3,4,2,4,2,2,27,Texas,Hispanic,51,89,96,74.1,2,0,yes,no,3,medium
F,18,R,GT3,A,2,3,health,teacher,other,2,4,2,yes,yes,yes,no,no,yes,no,yes,4,4,3,1,3,5,84,Florida,Hispanic,26,30,4,95.18,1,1,no,yes,3,high
M,17,U,GT3,T,3,1,other,other,father,2,3,1,no,yes,yes,yes,no,yes,no,yes,3,4,5,4,5,3,20,Texas,Other,14,28,12,93.9,0,0,yes,no,3,high
M,15,R,LE3,T,1,3,other,other,other,4,1,3,yes,yes,no,no,no,no,yes,yes,3,4,4,2,1,5,92,Florida,African American,60,94,93,92.27,1,0,yes,yes,2,high
M,15,U,GT3,A,3,0,services,at_home,father,1,2,1,yes,yes,no,yes,yes,no,no,yes,4,2,4,1,3,4,40,Florida,White,88,23,9,83.91,2,1,no,yes,1,low
M,17,R,GT3,A,0,3,teacher,teacher,father,4,1,2,yes,yes,yes,no,no,no,yes,yes,1,1,1,2,5,4,31,Florida,Hispanic,61,62,13,86.91,0,1,no,no,4,high
M,17,U,LE3,A,0,3,teacher,health,mother,2,3,4,no,yes,yes,yes,no,yes,yes,no,2,3,1,1,2,1,14,Texas,Asian,0,67,70,84.35,2,1,no,no,1,low
M,15,R,LE3,T,1,4,other,teacher,mother,4,4,1,yes,no,yes,yes,yes,yes,yes,no,3,1,5,2,1,4,85,Texas,Other,3,77,30,85.34,1,1,yes,no,1,low
M,17,U,GT3,A,3,3,health,services,mother,2,2,4,yes,no,no,yes,no,no,yes,no,2,2,1,5,2,2,88,California,White,38,76,3,88.5,1,1,yes,yes,0,high
M,16,U,LE3,T,0,4,teacher,teacher,father,2,4,1,no,yes,yes,yes,yes,no,no,no,2,1,5,5,4,2,43,California,Hispanic,26,22,47,84.79,2,1,yes,no,0,medium
F,18,R,LE3,A,4,4,teacher,other,other,2,4,4,yes,no,yes,yes,yes,no,yes,yes,5,2,3,4,4,5,81,Texas,Other,30,7,62,86.68,2,0,no,no,4,low
M,18,R,LE3,A,3,2,other,other,other,4,3,4,no,yes,no,no,no,no,yes,yes,5,2,2,1,5,2,35,Florida,Hispanic,50,12,3,89.86,0,0,yes,yes,0,medium
M,18,U,GT3,T,1,0,teacher,health,other,4,1,1,yes,no,yes,yes,yes,yes,yes,no,5,2,4,1,3,4,78,California,Hispanic,83,0,77,78.15,0,1,no,yes,0,medium
F,16,R,GT3,A,3,4,services,health,mother,2,1,1,no,no,yes,yes,no,yes,no,no,1,2,2,4,3,3,15,Texas,Hispanic,41,62,78,91.46,2,0,no,no,4,low
F,17,R,GT3,A,2,4,teacher,services,mother,1,1,4,no,no,no,yes,no,yes,yes,no,2,1,1,1,5,4,53,Florida,Other,62,26,56,99.11,0,1,no,yes,1,medium
F,19,U,LE3,T,0,4,teacher,teacher,father,2,2,1,yes,no,yes,no,no,yes,yes,yes,2,5,4,4,1,4,89,Texas,African American,87,80,34,75.88,3,1,yes,no,2,high
M,17,U,LE3,A,2,4,teacher,at_home,father,2,4,1,no,yes,no,no,yes,no,no,no,2,2,1,4,2,5,43,Florida,Hispanic,80,40,97,97.55,0,1,yes,no,1,medium
F,15,R,LE3,A,1,1,other,teacher,father,2,1,4,yes,yes,yes,yes,no,no,yes,yes,2,2,2,1,2,5,9,Texas,White,29,8,13,82.72,3,0,no,yes,4,high
M,18,U,GT3,T,2,2,at_home,other,mother,4,2,2,no,yes,no,yes,yes,yes,no,yes,2,2,1,3,3,2,63,Texas,Other,6,26,76,97.47,0,1,yes,yes,1,low
